rating,startYear,runtimeMinutes,awardWins,totalImages,totalVideos,totalCredits,criticReviewsTotal,titleType,awardNominationsExcludeWins,canHaveEpisodes,isAdult,numRegions,userReviewsTotal,ratingCount,countryOfOrigin,genres
6,2010,58,0,1,0,19,0,3,0,0,0,1,0,22,['IN'],"Action,Comedy,Drama"
10,2010,58,0,1,0,6,0,8,0,0,0,1,3,22,['GB'],Documentary
9,2022,58,0,2,0,12,0,5,0,0,0,1,0,5,['GB'],"Music,Short"
8,1991,87,3,2,0,9,3,3,0,0,0,4,3,129,['US'],Drama
5,1992,45,0,3,0,32,2,3,0,0,0,2,2,109,['US'],"Action,Comedy,Sci-Fi"
9,1958,99,0,74,0,59,0,3,0,0,0,4,1,111,['CSHH'],Drama
6,2020,58,0,1,0,7,0,8,0,0,0,1,0,8,['US'],Documentary
9,2003,58,0,5,0,14,0,1,0,0,0,1,0,81,['JP'],"Action,Animation,Comedy"
7,1993,45,0,0,0,82,0,1,0,0,0,1,0,37,['US'],"Action,Adventure,Crime"
8,2014,59,0,1,0,120,0,1,0,0,0,7,0,41,['GB'],"Comedy,Drama"
7,2017,20,6,5,0,34,21,7,1,0,0,4,6,755,['US'],"Drama,History,Short"
8,2019,64,0,12,0,20,0,3,0,0,0,2,0,47,['FI'],"Action,Thriller"
7,1963,30,0,4,0,38,0,1,0,0,0,1,2,246,['US'],"Comedy,Family"
7,2018,58,0,3,1,43,0,3,1,0,0,1,2,26,['IN'],"Drama,Thriller"
8,1997,22,0,4,0,60,0,1,0,0,0,1,1,610,['CA'],"Adventure,Comedy,Drama"
7,2006,82,0,0,0,29,0,3,0,0,0,2,0,20,['US'],Comedy
7,1995,58,0,0,0,11,0,5,0,0,1,2,0,99,['US'],Adult
7,1998,25,0,1,0,170,0,4,0,1,0,15,1,85,['US'],Drama
6,2019,58,1,6,1,181,14,3,2,0,0,14,68,2603,['US'],Drama
6,1926,21,0,11,0,32,5,7,0,0,0,7,13,644,['US'],"Comedy,Short"
7,1985,60,0,2,0,90,0,1,0,0,0,1,1,78,['US'],"Comedy,Drama,Romance"
10,2015,58,0,0,0,8,0,5,0,0,0,1,0,7,['US'],"Comedy,Short"
7,2016,97,2,4,0,140,5,3,8,0,0,8,2,1055,['FI'],Drama
7,1985,58,1,8,0,70,10,3,3,0,0,5,23,744,['US'],"Comedy,Drama"
6,2018,96,0,16,1,138,3,3,0,0,0,6,1,48,['US'],Drama
6,1983,58,0,2,0,49,0,3,0,0,0,2,0,14,['SUHH'],Drama
6,2012,58,0,1,0,69,0,8,0,0,0,3,0,70,['DE'],"Comedy,Sci-Fi"
6,1994,68,0,0,0,9,0,3,0,0,1,1,0,105,['US'],Adult
